Program,xPONENT,,Intelliflex,,,,,,,,,,,,,,,,,
Build,2.1.1015,,,,,,,,,,,,,,,,,,,
Date,14/04/2025,12:03,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SN,IFLEXP24081001,,,,,,,,,,,,,,,,,,,
Batch,PLATE_04142025_RUN000,,,,,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,,,,,
ComputerName,INTELLIFLEX-PC,,,,,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,,,,,
ProtocolName,,,,,,,,,,,,,,,,,,,,
ProtocolVersion,N/A,,,,,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,,,,,
PanelName,Influenza 6x Panel [v3],,,,,,,,,,,,,,,,,,,
MaxSampleUptakeVolume,10 ul,,,,,,,,,,,,,,,,,,,
DDGate,7000 to 21000,,,,,,,,,,,,,,,,,,,
SampleTimeout,30 sec,,,,,,,,,,,,,,,,,,,
BatchStartTime,14/04/2025 10:09,,,,,,,,,,,,,,,,,,,
BatchStopTime,14/04/2025 12:14,,,,,,,,,,,,,,,,,,,
BatchDescription,,,,,,,,,,,,,,,,,,,,
ProtocolPlate,Name,,Type,384,Plates,1,,,,,,,,,,,,,,
ProtocolMicrosphere,Map,,Type,,Count,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,,,,,
ProtocolOperatingMode,Luminex® 200™ Low PMT,,,,,,,,,,,,,,,,,,,
BeadType,MagPlex,,,,,,,,,,,,,,,,,,,
PrePlateRoutine,,,,,,,,,,,,,,,,,,,,
PostPlateRoutine,,,,,,,,,,,,,,,,,,,,
PostWellRoutine,,,,,,,,,,,,,,,,,,,,
PlateReadDirection,Vertical,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Most Recent Calibration and Control Results:,,,,,,,,,,,,,,,,,,,,
Last Calibration,Calibrated 04/08/2025 08:57,,,,,,,,,,,,,,,,,,,
Last Verification,Verified 04/14/2025 08:50,,,,,,,,,,,,,,,,,,,
Last Fluidics Test,Verified 04/14/2025 08:53,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,,,,,
Classification Calibrator,,,,,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1 Calibrated,CL1 Gain Final Volts,CL2 Calibrated,CL2 Gain Final Volts,CL3 Calibrated,CL3 Gain Final Volts,EDR Gain Calibrated,EDR Gain Final Volts,Lx200 RP1 High Gain Calibrated,Lx200 RP1 High Gain Final Volts,Lx200 RP1 Low Gain Calibrated,Lx200 RP1 Low Gain Final Volts,DDMag Calibrated,DDMag Gain Final Volts,DDMicro Calibrated,DDMicro Gain Final Volts,Standard RP1 Gain Calibrated,Standard RP1 Gain Final Volts
C03501,07/17/2025 00:00,04/08/2025 08:57,TRUE,81.46,TRUE,84.75,TRUE,81.47,TRUE,74.61,TRUE,577.38,TRUE,468.11,TRUE,52.57,TRUE,76.91,TRUE,591.15
,,,,,,,,,,,,,,,,,,,,
Samples,384,Min Events,,Per Bead,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,,,,,
Location,Sample,Reombinant influenza A H3N2 A Darwin 9 2021 HA Protein,Reombinant influenza A H1N1 HA protein,Recombinant Influenza B,H5N1 AIV09 A Chicken Scotland 054477 2021 HA1-T4 Trimeric,H5N1 A Michigan 90 2024 HA1-T4 Trimeric,H5N1 AIV48 A chicken England 085598 2022 HA1-T4 Trimeric,Total Events,,,,,,,,,,,,
"1(1,A1)",Unknown1,1530.27246,3941.25195,3176.91211,62.16797,67.45703,52.05469,518,,,,,,,,,,,,
"2(1,B1)",Unknown2,2698.62891,3672.95117,2624.74316,694.54883,522.09375,640.8584,431,,,,,,,,,,,,
"3(1,C1)",Unknown3,4436.64648,3753.7207,5719.83594,2029.19727,1807.96289,1937.89453,395,,,,,,,,,,,,
"4(1,D1)",Unknown4,4408.84766,5856.75586,3739.86523,95.7666,77.50586,77.59766,401,,,,,,,,,,,,
"5(1,E1)",Unknown5,5316.96777,9838.71289,5834.63867,139.64844,99.68066,59.93164,409,,,,,,,,,,,,
"6(1,F1)",Unknown6,2687.78516,2159.69922,3517.14453,63.45605,58.0957,43.74023,442,,,,,,,,,,,,
"7(1,G1)",Unknown7,3038.26172,3328.50781,3728.26855,212.91309,101.95898,91.17871,466,,,,,,,,,,,,
"8(1,H1)",Unknown8,5413.64453,8252.73438,5479.53125,975.79883,655.33301,909.26855,372,,,,,,,,,,,,
"9(1,I1)",Unknown9,3094.5498,6656.55176,3815.76758,99.70508,102.49414,94.76563,443,,,,,,,,,,,,
"10(1,J1)",Unknown10,3022.71094,3042.6377,2811.94043,261.78711,236.00391,165.44727,491,,,,,,,,,,,,
"11(1,K1)",Unknown11,3660.85645,7187.34766,2996.69336,35.50195,36.4209,24.88867,439,,,,,,,,,,,,
"12(1,L1)",Unknown12,1844.17285,504.91602,2118.94824,20.1875,29.11914,15.87402,536,,,,,,,,,,,,
"13(1,M1)",Unknown13,5501.31641,8099.74512,3165.86719,1117.11719,749.4707,680.23828,377,,,,,,,,,,,,
"14(1,N1)",Unknown14,3948.16699,4000.16602,2240.09082,64.66016,52.47461,47.93457,397,,,,,,,,,,,,
"15(1,O1)",Unknown15,3010.95703,7018.4082,5761.55664,325.94141,227.13477,271.42383,436,,,,,,,,,,,,
"16(1,P1)",Unknown16,2042.76758,3058.94336,2594.1709,44.06641,46.54785,33.51465,372,,,,,,,,,,,,
"17(1,A2)",Unknown17,7456.76172,7701.3125,6727.82227,243.79102,218.92871,225.55859,474,,,,,,,,,,,,
"18(1,B2)",Unknown18,2723.00586,3305.80371,4486.7627,21.66602,30.54297,18.46289,414,,,,,,,,,,,,
"19(1,C2)",Unknown19,2106.03711,3437.61914,4539.11523,83.42578,70.05859,54.44141,375,,,,,,,,,,,,
"20(1,D2)",Unknown20,4050.4375,2391.93066,2462.5752,286.65234,295.98242,343.26758,363,,,,,,,,,,,,
"21(1,E2)",Unknown21,1349.17285,3618.89062,2973.91309,300.39844,248.11035,287.81641,443,,,,,,,,,,,,
"22(1,F2)",Unknown22,4418.80469,2766.02148,1797.63184,283.83984,189.11523,226.8418,359,,,,,,,,,,,,
"23(1,G2)",Unknown23,6364.47656,6214.65039,7639.07617,132.59375,76.35156,115.60352,365,,,,,,,,,,,,
"24(1,H2)",Unknown24,5310.93848,5930.57031,6609.02344,1233.38672,642.89941,1047.54297,442,,,,,,,,,,,,
"25(1,I2)",Unknown25,3264.37793,6070.2002,6828.13281,77.69336,70.83789,71.12012,382,,,,,,,,,,,,
"26(1,J2)",Unknown26,2616.41992,4522.98926,4701.38867,227.23633,168.92676,204.11035,393,,,,,,,,,,,,
"27(1,K2)",Unknown27,3938.49023,4188.07812,4581.98633,81.20313,82.21289,73.25586,494,,,,,,,,,,,,
"28(1,L2)",Unknown28,2228.10938,3722.13477,3006.96582,54.26953,44.24805,33.40039,497,,,,,,,,,,,,
"29(1,M2)",Unknown29,1868.09668,7529.84961,6059.91797,86.0498,50.01367,81.97754,393,,,,,,,,,,,,
"30(1,N2)",Unknown30,3054.7832,4989.57031,4811.28125,324.07031,175.3291,255.67188,423,,,,,,,,,,,,
"31(1,O2)",Unknown31,1418.36719,6446.84375,5355.82422,82.44336,77.09375,71.84082,494,,,,,,,,,,,,
"32(1,P2)",Unknown32,1665.54102,3013.66406,5247.02051,115.40625,115.44141,106.49707,417,,,,,,,,,,,,
"33(1,A3)",Unknown33,331.27344,1390.74609,580.55176,34.32227,33.6875,14.99414,371,,,,,,,,,,,,
"34(1,B3)",Unknown34,2375.97168,3820.32812,3567.42773,195.18945,172.89062,148.99707,513,,,,,,,,,,,,
