Program,xPONENT,,Intelliflex,,,,,,,,,,,,,,,,,
Build,2.1.1015,,,,,,,,,,,,,,,,,,,
Date,17/07/2024,10:54,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SN,IFLEXP22308001,,,,,,,,,,,,,,,,,,,
Batch,PLATE_07172024_RUN000,,,,,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,,,,,
ComputerName,INTELLIFLEX-PC,,,,,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,,,,,
ProtocolName,,,,,,,,,,,,,,,,,,,,
ProtocolVersion,N/A,,,,,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,,,,,
PanelName,RSV Panel x8 [v2],,,,,,,,,,,,,,,,,,,
MaxSampleUptakeVolume,10 ul,,,,,,,,,,,,,,,,,,,
DDGate,7000 to 21000,,,,,,,,,,,,,,,,,,,
SampleTimeout,30 sec,,,,,,,,,,,,,,,,,,,
BatchStartTime,17/07/2024 10:14,,,,,,,,,,,,,,,,,,,
BatchStopTime,17/07/2024 10:33,,,,,,,,,,,,,,,,,,,
BatchDescription,,,,,,,,,,,,,,,,,,,,
ProtocolPlate,Name,,Type,96,Plates,1,,,,,,,,,,,,,,
ProtocolMicrosphere,Map,,Type,,Count,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,,,,,
ProtocolOperatingMode,Luminex® 200™ Low PMT,,,,,,,,,,,,,,,,,,,
BeadType,MagPlex,,,,,,,,,,,,,,,,,,,
PrePlateRoutine,,,,,,,,,,,,,,,,,,,,
PostPlateRoutine,,,,,,,,,,,,,,,,,,,,
PostWellRoutine,,,,,,,,,,,,,,,,,,,,
PlateReadDirection,Vertical,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Most Recent Calibration and Control Results:,,,,,,,,,,,,,,,,,,,,
Last Calibration,Calibrated 07/15/2024 10:52,,,,,,,,,,,,,,,,,,,
Last Verification,Verified 07/17/2024 09:29,,,,,,,,,,,,,,,,,,,
Last Fluidics Test,Verified 07/17/2024 09:31,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,,,,,
Classification Calibrator,,,,,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1 Calibrated,CL1 Gain Final Volts,CL2 Calibrated,CL2 Gain Final Volts,CL3 Calibrated,CL3 Gain Final Volts,EDR Gain Calibrated,EDR Gain Final Volts,Lx200 RP1 High Gain Calibrated,Lx200 RP1 High Gain Final Volts,Lx200 RP1 Low Gain Calibrated,Lx200 RP1 Low Gain Final Volts,DDMag Calibrated,DDMag Gain Final Volts,DDMicro Calibrated,DDMicro Gain Final Volts,Standard RP1 Gain Calibrated,Standard RP1 Gain Final Volts
C05153,11/28/2025 00:00,07/15/2024 10:52,TRUE,84.61,TRUE,85.91,TRUE,84.37,TRUE,81.34,TRUE,613.56,TRUE,499.84,TRUE,60.08,TRUE,86.89,TRUE,627.94
,,,,,,,,,,,,,,,,,,,,
Samples,96,Min Events,,Per Bead,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,,,,,
Location,Sample,RSV B F0 Protein,Human RSVB Post-fusion glycoprotein,RSV B GP G,A2 Pre-F-Fusion GP F0,Human RSV Strain B NP,Human RSV Strain A NP,RSV A2 Fusion GP RSV-F-Protein His,RSV A rsb1734 GP G Protein,Total Events,,,,,,,,,,
"1(1,A1)",Unknown1,850.69824,680.40625,416.75195,2544.40234,1494.00391,2337.45215,1250.32227,373.69336,995,,,,,,,,,,
"2(1,B1)",Unknown2,5019.17676,3898.36133,462.90527,6848.22852,4824.65918,8320.60938,6167.47852,312.71484,1065,,,,,,,,,,
"3(1,C1)",Unknown3,8816.03223,6638.06055,4984.08984,8440.60352,1618.95801,2279.9082,7936.82324,1413.34766,983,,,,,,,,,,
"4(1,D1)",Unknown4,1859.28223,1044.81152,526.56445,3724.06055,3183.15234,4517.6875,2742.95117,397.20312,956,,,,,,,,,,
"5(1,E1)",Unknown37,17721.05078,12781.57617,923.55078,16676.95312,3658.20312,6298.25977,17065.77539,664.65625,1066,,,,,,,,,,
"6(1,F1)",Unknown38,6814.01465,4891.9209,1541.9707,5633.94922,1530.26367,2475.70312,6282.68359,824.30273,912,,,,,,,,,,
"7(1,G1)",Unknown39,10501.06152,11398.30664,4946.57812,6946.66016,3736.63477,5707.25586,9984.89844,4997.96094,940,,,,,,,,,,
"8(1,H1)",Unknown40,9675.12988,6137.61328,4280.70117,6488.42188,7469.00586,10887.6582,8302.93945,1451.04395,951,,,,,,,,,,
"9(1,A2)",Unknown5,11770.63281,9558.2998,3155.70703,10997.8457,7213.5127,9370.74707,11379.68848,1672.99219,1113,,,,,,,,,,
"10(1,B2)",Unknown6,16299.36328,15111.44922,1121.53125,10825.19141,4079.64844,5022.08984,15674.9043,278.21484,967,,,,,,,,,,
"11(1,C2)",Unknown7,7175.81641,6962.95312,2510.11133,6813.71875,3595.43848,4595.98242,10112.27539,1434.07324,983,,,,,,,,,,
"12(1,D2)",Unknown8,14845.93848,13136.86328,5518.04199,12108.91113,7390.44727,11161.48828,19773.77734,2546.94141,938,,,,,,,,,,
"13(1,E2)",Unknown41,15826.42578,11549.625,2225.90234,13893.75195,6565.69141,11132.41211,15141.12012,374.46094,987,,,,,,,,,,
"14(1,F2)",Unknown42,7618.17773,6333.80078,957.09863,7358.78906,2360.74609,3808.00977,7271.58008,462.5332,994,,,,,,,,,,
"15(1,G2)",Unknown43,21149.06055,15706.43945,2912.84766,11768.67773,1928.7627,3430.96289,19775.41797,70.13867,961,,,,,,,,,,
"16(1,H2)",Unknown44,1040.70801,838.41113,72.50977,1284.80664,105.78711,214.73828,899.88867,36.54688,936,,,,,,,,,,
"17(1,A3)",Unknown9,4144.45215,3200.58008,3216,4673.49023,2662.83691,4372.68359,4646.03125,1255.36133,880,,,,,,,,,,
"18(1,B3)",Unknown10,7472.6543,6093.07324,1205.6875,6337.53027,2073.25195,3132.77344,7635.57227,421.33984,994,,,,,,,,,,
"19(1,C3)",Unknown11,8839.84863,8239.37109,2906.56543,9791.82129,2333.82129,3214.56152,12352.16797,1691.22656,1018,,,,,,,,,,
"20(1,D3)",Unknown12,6314.65234,3176.24023,3822.70312,5204.04297,2353.29492,4149.70312,7456.77832,3643.81348,1005,,,,,,,,,,
"21(1,E3)",Unknown45,5225.46484,4327.83789,861.12402,4884.83887,1778.78809,2925.12695,6580.46875,193.6582,1048,,,,,,,,,,
"22(1,F3)",Unknown46,5403.49805,5091.97266,1959.80078,6105.27148,2064.06152,3008.06055,6481.46387,760.61035,933,,,,,,,,,,
"23(1,G3)",Unknown47,9499.52148,8578.95508,1805.41016,6813.10059,2283.70703,3663.96973,9834.11621,964.76953,932,,,,,,,,,,
"24(1,H3)",Unknown48,16554.92383,15900.36719,5475.43359,13974.43164,8120.83203,9710.39648,17904.37695,3132.15332,869,,,,,,,,,,
"25(1,A4)",Unknown49,57.82813,70.14453,62.04004,25.31348,52.33203,71.26172,82.46484,54.01953,1029,,,,,,,,,,
"26(1,B4)",Unknown50,10132.36328,8835.31641,4093.76562,9580.71191,7204.11328,9175.59766,10885.96191,2241.58594,948,,,,,,,,,,
"27(1,C4)",Unknown51,12575.38477,12810.50586,1956.0957,7678.76367,2678.00684,4530.46875,15912.67578,1743.41797,872,,,,,,,,,,
"28(1,D4)",Unknown52,6424.4502,5572.64648,472.85156,6690.87891,2836.94531,4524.58008,6530.32227,324.61133,920,,,,,,,,,,
"29(1,E4)",Unknown53,16628.95508,14495.39062,1246.63086,10791.03516,4181.8623,8173.22461,18569.75977,554.01953,1091,,,,,,,,,,
"30(1,F4)",Unknown54,13000.83984,11476.28906,266.47461,9892.78809,5525.44629,8828.16016,18075.66406,314.78125,951,,,,,,,,,,
"31(1,G4)",Unknown55,5491.09961,3433.89258,624.32812,6278.3418,4935.62109,7937.96484,7932.46973,241.20117,890,,,,,,,,,,
"32(1,H4)",Unknown56,16315.60254,11132.14062,2523.60547,12611.09766,6894.1084,11232.125,18002.93555,2523.21973,964,,,,,,,,,,
"33(1,A5)",Unknown13,10042.56641,9130.36133,2208.36426,8137.48828,5226.72852,9751.53711,11217.16797,1395.32422,883,,,,,,,,,,
"34(1,B5)",Unknown14,2278.14258,776.15039,957.38867,5906.48828,2453.33789,3879.04785,2656.54492,960.9375,1002,,,,,,,,,,
"35(1,C5)",Unknown15,15746.24023,15673.26465,4149.2793,11869.31152,8234,13133.08984,18898.90234,6167.53516,1101,,,,,,,,,,
"36(1,D5)",Unknown16,4707.27148,4451.76855,124.91016,2752.50098,691.39453,1183.29883,6372.47168,222.21289,932,,,,,,,,,,
"37(1,E5)",Unknown57,7266.43164,6838.10547,1103.6582,6803.38477,2381.72656,3532.83691,8734.68945,835.82227,901,,,,,,,,,,
"38(1,F5)",Unknown58,3266.57617,1581.02148,1231.59375,4984.33008,1873.79688,2412.14258,4517.79297,1043.84668,969,,,,,,,,,,
"39(1,G5)",Unknown59,5305.96973,5196.08789,970.02832,3393.03223,2622.13672,3525.13281,5235.19238,383.01465,925,,,,,,,,,,
"40(1,H5)",Unknown60,7093.61719,4459.84766,942.16602,9118.42773,3148.33887,5176.31836,8086.34961,957.89062,901,,,,,,,,,,
"41(1,A6)",Unknown17,10805.00781,9137.85156,360.02344,3858.03809,3725.97852,5849.95215,9808.14258,261.69141,963,,,,,,,,,,
"42(1,B6)",Unknown18,1539.74219,347.19336,277.31152,4836.20703,3009.24316,2020.35156,2370.08594,48.67188,918,,,,,,,,,,
"43(1,C6)",Unknown19,8964.39844,5625.08789,4106.56348,8108.86133,4490.01758,4992.11914,9321.70117,4936.98242,865,,,,,,,,,,
"44(1,D6)",Unknown20,7730.80469,7060.07129,2362.54492,7372.74023,2559.50781,3824.68262,8189.97754,1496.15918,1011,,,,,,,,,,
"45(1,E6)",Unknown61,5455.17578,5524.63184,968.2832,7092.43164,4206.2959,7802.74023,7686.62793,1831.11426,950,,,,,,,,,,
"46(1,F6)",Unknown62,10894.42188,10013.14258,3362.43945,11793.65039,6599.83398,11485.23828,13640.01074,3330.65234,878,,,,,,,,,,
