Sample,Concentration
FGF_2_Standard1,4250
FGF_2_Standard2,1275
FGF_2_Standard3,382.5
FGF_2_Standard4,114.75
FGF_2_Standard5,34.425
FGF_2_Standard6,10.3275
FGF_2_Standard7,3.09825
IL_1_beta_Standard1,7460
IL_1_beta_Standard2,2238
IL_1_beta_Standard3,671.4
IL_1_beta_Standard4,201.42
IL_1_beta_Standard5,60.426
IL_1_beta_Standard6,18.1278
IL_1_beta_Standard7,5.43834
G_CSF__CSF_3__Standard1,51900
G_CSF__CSF_3__Standard2,15570
G_CSF__CSF_3__Standard3,4671
G_CSF__CSF_3__Standard4,1401.3
G_CSF__CSF_3__Standard5,420.39
G_CSF__CSF_3__Standard6,126.117
G_CSF__CSF_3__Standard7,37.8351
IL_10_Standard1,8520
IL_10_Standard2,2556
IL_10_Standard3,766.8
IL_10_Standard4,230.04
IL_10_Standard5,69.012
IL_10_Standard6,20.7036
IL_10_Standard7,6.21108
IL_13_Standard1,10730
IL_13_Standard2,3219
IL_13_Standard3,965.7
IL_13_Standard4,289.71
IL_13_Standard5,86.913
IL_13_Standard6,26.0739
IL_13_Standard7,7.82217
IL_6_Standard1,7150
IL_6_Standard2,2145
IL_6_Standard3,643.5
IL_6_Standard4,193.05
IL_6_Standard5,57.915
IL_6_Standard6,17.3745
IL_6_Standard7,5.21235
IL_12/IL_23p40_Standard1,6920
IL_12/IL_23p40_Standard2,2076
IL_12/IL_23p40_Standard3,622.8
IL_12/IL_23p40_Standard4,186.84
IL_12/IL_23p40_Standard5,56.052
IL_12/IL_23p40_Standard6,16.8156
IL_12/IL_23p40_Standard7,5.04468
RANTES__CCL5__Standard1,12800
RANTES__CCL5__Standard2,3840
RANTES__CCL5__Standard3,1152
RANTES__CCL5__Standard4,345.6
RANTES__CCL5__Standard5,103.68
RANTES__CCL5__Standard6,31.104
RANTES__CCL5__Standard7,9.3312
Eotaxin__CCL11__Standard1,3900
Eotaxin__CCL11__Standard2,1170
Eotaxin__CCL11__Standard3,351
Eotaxin__CCL11__Standard4,105.3
Eotaxin__CCL11__Standard5,31.59
Eotaxin__CCL11__Standard6,9.477
Eotaxin__CCL11__Standard7,2.8431
IL_17A__CTLA_8__Standard1,15960
IL_17A__CTLA_8__Standard2,4788
IL_17A__CTLA_8__Standard3,1436.4
IL_17A__CTLA_8__Standard4,430.92
IL_17A__CTLA_8__Standard5,129.276
IL_17A__CTLA_8__Standard6,38.7828
IL_17A__CTLA_8__Standard7,11.63484
MIP_1_alpha__CCL3__Standard1,12800
MIP_1_alpha__CCL3__Standard2,3840
MIP_1_alpha__CCL3__Standard3,1152
MIP_1_alpha__CCL3__Standard4,345.6
MIP_1_alpha__CCL3__Standard5,103.68
MIP_1_alpha__CCL3__Standard6,31.104
MIP_1_alpha__CCL3__Standard7,9.3312
GM_CSF_Standard1,4540
GM_CSF_Standard2,1362
GM_CSF_Standard3,408.6
GM_CSF_Standard4,122.58
GM_CSF_Standard5,36.774
GM_CSF_Standard6,11.0322
GM_CSF_Standard7,3.30966
MIP_1_beta__CCL4__Standard1,10300
MIP_1_beta__CCL4__Standard2,3090
MIP_1_beta__CCL4__Standard3,927
MIP_1_beta__CCL4__Standard4,278.1
MIP_1_beta__CCL4__Standard5,83.43
MIP_1_beta__CCL4__Standard6,25.029
MIP_1_beta__CCL4__Standard7,7.5087
MCP_1__CCL2__Standard1,14700
MCP_1__CCL2__Standard2,4410
MCP_1__CCL2__Standard3,1323
MCP_1__CCL2__Standard4,396.9
MCP_1__CCL2__Standard5,119.07
MCP_1__CCL2__Standard6,35.721
MCP_1__CCL2__Standard7,10.7163
IL_15_Standard1,12920
IL_15_Standard2,3876
IL_15_Standard3,1162.8
IL_15_Standard4,348.84
IL_15_Standard5,104.652
IL_15_Standard6,31.3956
IL_15_Standard7,9.41868
EGF_Standard1,5050
EGF_Standard2,1515
EGF_Standard3,454.5
EGF_Standard4,136.35
EGF_Standard5,40.905
EGF_Standard6,12.2715
EGF_Standard7,3.68145
IL_5_Standard1,8295
IL_5_Standard2,2488.5
IL_5_Standard3,746.55
IL_5_Standard4,223.965
IL_5_Standard5,67.1895
IL_5_Standard6,20.15685
IL_5_Standard7,6.047055
HGF_Standard1,9800
HGF_Standard2,2940
HGF_Standard3,882
HGF_Standard4,264.6
HGF_Standard5,79.38
HGF_Standard6,23.814
HGF_Standard7,7.1442
VEGF_A_Standard1,1800
VEGF_A_Standard2,540
VEGF_A_Standard3,162
VEGF_A_Standard4,48.6
VEGF_A_Standard5,14.58
VEGF_A_Standard6,4.374
VEGF_A_Standard7,1.3122
IFN_gamma_Standard1,3270
IFN_gamma_Standard2,981
IFN_gamma_Standard3,294.3
IFN_gamma_Standard4,88.29
IFN_gamma_Standard5,26.487
IFN_gamma_Standard6,7.9461
IFN_gamma_Standard7,2.38383
IFN_alpha_Standard1,9240
IFN_alpha_Standard2,2772
IFN_alpha_Standard3,831.6
IFN_alpha_Standard4,249.48
IFN_alpha_Standard5,74.844
IFN_alpha_Standard6,22.4532
IFN_alpha_Standard7,6.73596
IL_1RA_Standard1,98700
IL_1RA_Standard2,29610
IL_1RA_Standard3,8883
IL_1RA_Standard4,2664.9
IL_1RA_Standard5,799.47
IL_1RA_Standard6,239.841
IL_1RA_Standard7,71.9523
TNF_alpha_Standard1,2960
TNF_alpha_Standard2,888
TNF_alpha_Standard3,266.4
TNF_alpha_Standard4,79.92
TNF_alpha_Standard5,23.976
TNF_alpha_Standard6,7.1928
TNF_alpha_Standard7,2.15784
IL_2_Standard1,9760
IL_2_Standard2,2928
IL_2_Standard3,878.4
IL_2_Standard4,263.52
IL_2_Standard5,79.056
IL_2_Standard6,23.7168
IL_2_Standard7,7.11504
IL_7_Standard1,12005
IL_7_Standard2,3601.5
IL_7_Standard3,1080.45
IL_7_Standard4,324.135
IL_7_Standard5,97.2405
IL_7_Standard6,29.17215
IL_7_Standard7,8.751645
IP_10__CXCL10__Standard1,2000
IP_10__CXCL10__Standard2,600
IP_10__CXCL10__Standard3,180
IP_10__CXCL10__Standard4,54
IP_10__CXCL10__Standard5,16.2
IP_10__CXCL10__Standard6,4.86
IP_10__CXCL10__Standard7,1.458
IL_2R_Standard1,19000
IL_2R_Standard2,5700
IL_2R_Standard3,1710
IL_2R_Standard4,513
IL_2R_Standard5,153.9
IL_2R_Standard6,46.17
IL_2R_Standard7,13.851
MIG__CXCL9__Standard1,2750
MIG__CXCL9__Standard2,825
MIG__CXCL9__Standard3,247.5
MIG__CXCL9__Standard4,74.25
MIG__CXCL9__Standard5,22.275
MIG__CXCL9__Standard6,6.6825
MIG__CXCL9__Standard7,2.00475
IL_4_Standard1,38035
IL_4_Standard2,11410.5
IL_4_Standard3,3423.15
IL_4_Standard4,1026.945
IL_4_Standard5,308.0835
IL_4_Standard6,92.42505
IL_4_Standard7,27.727515
IL_8__CXCL8__Standard1,5980
IL_8__CXCL8__Standard2,1794
IL_8__CXCL8__Standard3,538.2
IL_8__CXCL8__Standard4,161.46
IL_8__CXCL8__Standard5,48.438
IL_8__CXCL8__Standard6,14.5314
IL_8__CXCL8__Standard7,4.35942
